,einsatz_angelegt_datum,einsaetze_anzahl_alle,einsaetze_anzahl_brand,einsaetze_anzahl_rettungsdienst,einsaetze_anzahl_technische_hilfeleistung,einsaetze_anzahl_rettungsdienst_mit_technischer_hilfeleistung,einsaetze_anzahl_sonstige
0,2018-01-01,2235,393,1744,58,40,0
1,2018-01-02,1242,34,1135,42,31,0
2,2018-01-03,1358,32,1223,43,60,0
3,2018-01-04,1310,30,1189,35,56,0
4,2018-01-05,1270,38,1159,33,39,1
5,2018-01-06,1180,54,1059,28,37,1
6,2018-01-07,1095,36,1005,26,27,1
7,2018-01-08,1223,34,1121,23,45,0
8,2018-01-09,1206,39,1091,40,35,1
9,2018-01-10,1207,43,1089,27,47,1
10,2018-01-11,1249,32,1135,29,53,0
11,2018-01-12,1210,36,1109,37,26,2
12,2018-01-13,1209,43,1089,30,46,1
13,2018-01-14,1152,38,1054,32,27,1
14,2018-01-15,1283,38,1168,31,45,1
15,2018-01-16,1319,28,1180,51,60,0
16,2018-01-17,1273,30,1133,53,57,0
17,2018-01-18,1420,32,1247,80,61,0
18,2018-01-19,1314,31,1193,36,52,2
19,2018-01-20,1311,35,1205,35,36,0
20,2018-01-21,1298,39,1198,22,39,0
21,2018-01-22,1364,33,1250,34,46,1
22,2018-01-23,1315,33,1198,38,45,1
23,2018-01-24,1365,26,1238,46,53,2
24,2018-01-25,1380,30,1240,53,57,0
25,2018-01-26,1475,32,1316,55,71,0
26,2018-01-27,1425,34,1321,34,35,0
27,2018-01-28,1191,23,1108,24,35,1
28,2018-01-29,1381,24,1260,45,51,1
29,2018-01-30,1196,22,1111,29,34,0
30,2018-01-31,1325,27,1208,42,48,0
31,2018-02-01,1389,24,1285,31,48,0
32,2018-02-02,1388,33,1270,40,45,0
33,2018-02-03,1268,28,1165,36,39,0
34,2018-02-04,1189,23,1111,25,30,0
35,2018-02-05,1298,30,1170,42,55,1
36,2018-02-06,1229,37,1097,43,50,2
37,2018-02-07,1293,36,1176,41,39,1
38,2018-02-08,1279,36,1174,28,40,1
39,2018-02-09,1306,37,1186,46,37,0
40,2018-02-10,1305,27,1207,37,34,0
41,2018-02-11,1255,25,1165,35,30,0
42,2018-02-12,1413,28,1307,32,44,2
43,2018-02-13,1368,37,1251,37,43,0
44,2018-02-14,1181,28,1064,33,55,1
45,2018-02-15,1357,37,1227,39,54,0
46,2018-02-16,1437,36,1313,40,48,0
47,2018-02-17,1332,30,1210,43,48,1
48,2018-02-18,1286,43,1174,36,33,0
49,2018-02-19,1447,35,1317,38,56,1
50,2018-02-20,1365,41,1225,38,61,0
51,2018-02-21,1359,35,1233,34,55,2
52,2018-02-22,1377,38,1250,37,52,0
53,2018-02-23,1334,43,1204,44,43,0
54,2018-02-24,1317,42,1189,45,41,0
55,2018-02-25,1314,42,1174,52,45,1
56,2018-02-26,1361,45,1211,56,48,0
57,2018-02-27,1318,41,1174,51,51,1
58,2018-02-28,1441,43,1271,69,57,1
59,2018-03-01,1431,35,1307,54,34,1
60,2018-03-02,1491,38,1322,80,51,0
61,2018-03-03,1448,41,1299,63,44,1
62,2018-03-04,1447,48,1282,83,34,0
63,2018-03-05,1809,37,1643,71,56,1
64,2018-03-06,1501,35,1354,50,60,2
65,2018-03-07,1500,29,1334,72,62,2
66,2018-03-08,1533,28,1399,64,42,0
67,2018-03-09,1532,35,1396,55,46,0
68,2018-03-10,1513,37,1368,55,53,0
69,2018-03-11,1551,35,1428,46,42,0
70,2018-03-12,1503,28,1371,45,59,0
71,2018-03-13,1442,36,1312,40,52,1
72,2018-03-14,1439,31,1313,49,46,0
73,2018-03-15,1406,32,1286,31,57,0
74,2018-03-16,1332,29,1213,39,51,0
75,2018-03-17,1311,40,1171,64,36,0
76,2018-03-18,1341,45,1174,83,38,1
77,2018-03-19,1452,50,1301,58,42,0
78,2018-03-20,1290,23,1178,48,41,0
79,2018-03-21,1327,32,1195,44,55,1
80,2018-03-22,1233,31,1108,41,52,0
81,2018-03-23,1306,26,1189,47,42,1
82,2018-03-24,1278,27,1182,33,35,1
83,2018-03-25,1268,42,1145,36,42,2
84,2018-03-26,1303,29,1206,28,40,0
85,2018-03-27,1017,27,933,17,39,0
86,2018-03-29,1286,38,1153,45,50,0
87,2018-03-30,1204,27,1115,28,32,1
88,2018-03-31,1207,34,1082,38,53,0
89,2018-04-01,1181,21,1084,33,43,0
90,2018-04-02,1113,33,1009,31,37,2
91,2018-04-03,1423,52,1274,48,48,1
92,2018-04-04,1407,51,1233,64,59,0
93,2018-04-05,1236,33,1094,56,53,0
94,2018-04-06,1288,53,1129,52,54,0
95,2018-04-07,1307,52,1154,49,52,0
96,2018-04-08,1346,61,1215,36,34,0
97,2018-04-09,1427,35,1285,63,42,1
98,2018-04-10,1380,44,1236,44,56,0
99,2018-04-11,1345,36,1203,48,57,1
100,2018-04-12,1292,28,1149,48,65,0
101,2018-04-13,1294,32,1168,50,43,0
102,2018-04-14,1240,38,1099,57,45,1
103,2018-04-15,1196,47,1068,45,36,0
104,2018-04-16,1242,31,1090,53,66,1
105,2018-04-17,1198,33,1072,36,57,0
106,2018-04-18,1254,43,1117,44,50,0
107,2018-04-19,1237,43,1091,41,61,0
108,2018-04-20,1469,48,1301,67,52,1
109,2018-04-21,1275,56,1139,38,42,0
110,2018-04-22,1167,38,1036,51,41,1
111,2018-04-23,1364,41,1224,41,57,0
112,2018-04-24,1231,25,1097,50,53,2
113,2018-04-25,1229,36,1073,69,48,1
114,2018-04-26,1184,39,1055,34,52,1
115,2018-04-27,1204,24,1077,43,54,3
116,2018-04-28,1347,39,1212,46,45,0
117,2018-04-29,1177,29,1079,35,32,1
118,2018-04-30,1244,41,1088,52,57,2
119,2018-05-01,1211,45,1081,49,34,0
120,2018-05-02,1349,41,1224,40,43,1
121,2018-05-03,1253,35,1103,47,64,3
122,2018-05-04,1221,34,1096,44,41,2
123,2018-05-05,1221,37,1081,57,43,0
124,2018-05-06,1185,34,1062,45,43,0
125,2018-05-07,1365,38,1219,45,59,1
126,2018-05-08,1319,32,1169,60,55,1
127,2018-05-09,1421,42,1256,55,62,1
128,2018-05-10,1242,46,1097,43,53,0
129,2018-05-11,1251,40,1110,46,51,0
130,2018-05-12,1279,38,1140,51,48,0
131,2018-05-13,1349,41,1206,47,49,0
132,2018-05-14,1405,66,1208,65,66,0
133,2018-05-15,1332,61,1105,108,56,0
134,2018-05-16,1223,27,1118,37,39,1
135,2018-05-17,1294,31,1153,55,51,1
136,2018-05-18,1174,38,1049,34,49,0
137,2018-05-19,1244,54,1095,46,46,0
138,2018-05-20,1274,46,1122,57,44,0
